cluster,names,logfoldchanges,pvals_adj
0,Glyma.07G065500.Wm82.a2.v1,3.8016431,0.0
0,Glyma.01G019200.Wm82.a2.v1,3.6679747,0.0
0,Glyma.15G263600.Wm82.a2.v1,2.984396,0.0
0,Glyma.18G087300.Wm82.a2.v1,2.8358815,0.0
0,Glyma.10G069500.Wm82.a2.v1,2.8636658,5.657508315636489e-279
0,Glyma.06G307700.Wm82.a2.v1,3.2128186,1.6074894441263635e-267
0,Glyma.11G179300.Wm82.a2.v1,2.7619915,4.9446869682307725e-263
0,Glyma.06G190800.Wm82.a2.v1,4.506893,1.5330958623159368e-231
0,Glyma.18G280300.Wm82.a2.v1,3.102214,4.331684013723108e-226
0,Glyma.18G087000.Wm82.a2.v1,2.8036785,2.2882148390821372e-225
1,Glyma.06G263900.Wm82.a2.v1,3.4706967,0.0
1,Glyma.12G233300.Wm82.a2.v1,2.7686043,0.0
1,Glyma.11G088600.Wm82.a2.v1,2.188119,3.7396639349671122e-211
1,Glyma.01G156200.Wm82.a2.v1,2.4449887,1.8675046933593332e-209
1,Glyma.12G217300.Wm82.a2.v1,2.9526107,2.0533105515897293e-204
1,Glyma.16G142100.Wm82.a2.v1,2.6791453,5.566608031601109e-184
1,Glyma.08G005900.Wm82.a2.v1,2.371466,3.744323812192732e-183
1,Glyma.13G224500.Wm82.a2.v1,1.9983656,1.0931207255028989e-178
1,Glyma.01G125400.Wm82.a2.v1,1.9660738,7.368015394195681e-178
1,Glyma.07G196800.Wm82.a2.v1,2.1325092,2.839617587302926e-159
2,Glyma.11G049100.Wm82.a2.v1,3.743537,0.0
2,Glyma.11G238800.Wm82.a2.v1,3.0238967,0.0
2,Glyma.15G009500.Wm82.a2.v1,3.068265,0.0
2,Glyma.05G203700.Wm82.a2.v1,3.1307082,0.0
2,Glyma.18G247100.Wm82.a2.v1,3.5198843,0.0
2,Glyma.12G135000.Wm82.a2.v1,2.6978788,0.0
2,Glyma.12G098900.Wm82.a2.v1,2.7073226,6.822204962604806e-305
2,Glyma.16G197800.Wm82.a2.v1,2.7797642,1.6828891165607766e-265
2,Glyma.12G099300.Wm82.a2.v1,2.6434505,5.877148387494886e-248
2,Glyma.08G251800.Wm82.a2.v1,2.5686183,1.0746123162900395e-232
3,Glyma.13G089700.Wm82.a2.v1,3.9069333,0.0
3,Glyma.10G277800.Wm82.a2.v1,3.5000665,0.0
3,Glyma.07G023300.Wm82.a2.v1,3.2491655,0.0
3,Glyma.01G240300.Wm82.a2.v1,4.4098926,0.0
3,Glyma.17G160100.Wm82.a2.v1,4.738352,8.788980231439995e-295
3,Glyma.07G150900.Wm82.a2.v1,5.414197,9.511057018603852e-286
3,Glyma.13G279900.Wm82.a2.v1,3.1794522,1.5108960830039384e-268
3,Glyma.02G080200.Wm82.a2.v1,2.888573,1.131501218552207e-265
3,Glyma.03G057100.Wm82.a2.v1,3.8629088,2.4337865959113073e-263
3,Glyma.20G198000.Wm82.a2.v1,2.6274264,9.91353331236826e-246
4,Glyma.08G131900.Wm82.a2.v1,3.368088,0.0
4,Glyma.20G237900.Wm82.a2.v1,2.6856534,1.3029812572081375e-219
4,Glyma.20G217200.Wm82.a2.v1,2.3781161,3.419700927582927e-185
4,Glyma.05G187900.Wm82.a2.v1,2.9775684,2.428769110204599e-156
4,Glyma.06G092000.Wm82.a2.v1,2.4249732,1.2333827157118137e-152
4,Glyma.10G210700.Wm82.a2.v1,2.4555902,3.966060301764782e-149
4,Glyma.20G144300.Wm82.a2.v1,2.4018853,5.285666659780554e-149
4,Glyma.06G100000.Wm82.a2.v1,2.231803,5.255694827960601e-144
4,Glyma.18G034900.Wm82.a2.v1,2.1505206,5.571623302066825e-141
4,Glyma.12G096900.Wm82.a2.v1,3.9320917,8.470431941365738e-136
5,Glyma.20G159300.Wm82.a2.v1,3.5408876,0.0
5,Glyma.09G280700.Wm82.a2.v1,3.5583289,0.0
5,Glyma.11G035900.Wm82.a2.v1,3.2245903,3.715307126431416e-302
5,Glyma.05G053300.Wm82.a2.v1,2.97081,5.7016663275238355e-270
5,Glyma.01G210800.Wm82.a2.v1,3.0278568,9.454723584946017e-237
5,Glyma.07G110900.Wm82.a2.v1,3.0245645,3.58214898097828e-226
5,Glyma.01G184600.Wm82.a2.v1,3.3718207,9.79388227352573e-221
5,Glyma.17G187300.Wm82.a2.v1,2.5351079,3.2088695053708834e-202
5,Glyma.09G160200.Wm82.a2.v1,3.0236285,1.0317119881640869e-193
5,Glyma.01G129700.Wm82.a2.v1,3.7287989,4.861572056122368e-187
6,Glyma.09G209400.Wm82.a2.v1,5.3911405,0.0
6,Glyma.02G080200.Wm82.a2.v1,4.814783,0.0
6,Glyma.10G291400.Wm82.a2.v1,4.199293,0.0
6,Glyma.11G211100.Wm82.a2.v1,3.9631078,0.0
6,Glyma.14G058700.Wm82.a2.v1,5.2448516,0.0
6,Glyma.19G259300.Wm82.a2.v1,4.8724866,0.0
6,Glyma.19G011700.Wm82.a2.v1,5.2236533,0.0
6,Glyma.13G302800.Wm82.a2.v1,4.352656,0.0
6,Glyma.12G054000.Wm82.a2.v1,4.447025,0.0
6,Glyma.15G146600.Wm82.a2.v1,5.069351,0.0
7,Glyma.04G051000.Wm82.a2.v1,4.217071,5.007942038795426e-289
7,Glyma.14G171100.Wm82.a2.v1,5.25586,4.295784916354261e-267
7,Glyma.01G113000.Wm82.a2.v1,3.2971954,4.083783558522435e-250
7,Glyma.14G201800.Wm82.a2.v1,3.0556402,3.141039313230657e-219
7,Glyma.10G017600.Wm82.a2.v1,3.0192618,2.650357711848836e-199
7,Glyma.15G262100.Wm82.a2.v1,2.9621203,6.185524141561203e-191
7,Glyma.08G062600.Wm82.a2.v1,3.318558,6.407181227765497e-183
7,Glyma.03G078300.Wm82.a2.v1,2.9227874,1.2850866690518354e-159
7,Glyma.17G251800.Wm82.a2.v1,2.8075964,2.0578206229766775e-152
7,Glyma.05G222400.Wm82.a2.v1,2.4950125,3.275597202373851e-141
8,Glyma.18G045200.Wm82.a2.v1,3.0798266,2.5019326172755494e-238
8,Glyma.01G006200.Wm82.a2.v1,2.7001414,3.503684767472697e-180
8,Glyma.11G172500.Wm82.a2.v1,3.3589509,2.9715448200525924e-149
8,Glyma.11G096700.Wm82.a2.v1,2.7378564,1.4517954282534096e-146
8,Glyma.11G250200.Wm82.a2.v1,2.7699301,1.0809676922112242e-134
8,Glyma.17G188500.Wm82.a2.v1,2.9115162,2.1660238382543868e-134
8,Glyma.16G149300.Wm82.a2.v1,2.661408,2.3616469002155515e-131
8,Glyma.08G170700.Wm82.a2.v1,3.0804727,1.1291979170382454e-121
8,Glyma.07G073500.Wm82.a2.v1,2.299445,6.651331571165906e-120
8,Glyma.15G207200.Wm82.a2.v1,2.5617464,2.2422534572003614e-111
9,Glyma.12G032900.Wm82.a2.v1,4.5668473,1.2832025736570453e-294
9,Glyma.19G011700.Wm82.a2.v1,3.8854442,1.4348443114920655e-213
9,Glyma.11G072000.Wm82.a2.v1,5.4037123,9.433785539395249e-157
9,Glyma.11G008000.Wm82.a2.v1,5.439987,2.99813836707881e-147
9,Glyma.01G234900.Wm82.a2.v1,5.7794337,1.0176808270078097e-129
9,Glyma.11G108000.Wm82.a2.v1,4.674899,1.4375596413242262e-125
9,Glyma.18G291000.Wm82.a2.v1,6.222986,1.0216664433164044e-121
9,Glyma.03G109900.Wm82.a2.v1,2.8382313,1.5028891854759947e-111
9,Glyma.16G106800.Wm82.a2.v1,5.8132195,2.7604973606357436e-103
9,Glyma.13G095600.Wm82.a2.v1,3.7028246,5.2876332919640345e-102
10,Glyma.20G192700.Wm82.a2.v1,6.848908,0.0
10,Glyma.02G159900.Wm82.a2.v1,6.249618,0.0
10,Glyma.08G159900.Wm82.a2.v1,5.737171,0.0
10,Glyma.19G006200.Wm82.a2.v1,6.275438,0.0
10,Glyma.18G030700.Wm82.a2.v1,5.619131,4.817466557530799e-266
10,Glyma.07G185300.Wm82.a2.v1,5.477455,7.288960730389075e-258
10,Glyma.16G155200.Wm82.a2.v1,4.6575184,3.60722359989147e-251
10,Glyma.01G152100.Wm82.a2.v1,4.9149632,1.6780916134465126e-246
10,Glyma.10G138300.Wm82.a2.v1,5.301184,2.645900115651367e-231
10,Glyma.12G233300.Wm82.a2.v1,3.5952919,5.436631380833021e-226
11,Glyma.10G183300.Wm82.a2.v1,7.53126,0.0
11,Glyma.17G245000.Wm82.a2.v1,5.0935683,0.0
11,Glyma.06G111900.Wm82.a2.v1,7.073792,0.0
11,Glyma.02G003700.Wm82.a2.v1,6.606404,0.0
11,Glyma.12G234200.Wm82.a2.v1,7.0771356,0.0
11,Glyma.14G134100.Wm82.a2.v1,5.5558887,0.0
11,Glyma.19G178200.Wm82.a2.v1,5.4410887,0.0
11,Glyma.19G016700.Wm82.a2.v1,6.8173857,0.0
11,Glyma.15G049800.Wm82.a2.v1,6.777754,0.0
11,Glyma.10G004800.Wm82.a2.v1,6.367811,5.749187670572345e-306
12,Glyma.08G120100.Wm82.a2.v1,5.880391,7.16298828952358e-285
12,Glyma.07G128700.Wm82.a2.v1,6.6999326,8.300278595854577e-268
12,Glyma.05G146400.Wm82.a2.v1,6.619903,6.140460006539348e-267
12,Glyma.11G224400.Wm82.a2.v1,6.708913,8.879797529971618e-263
12,Glyma.13G348500.Wm82.a2.v1,5.417845,5.2350165349597514e-257
12,Glyma.17G195900.Wm82.a2.v1,6.057256,1.0935013394418035e-254
12,Glyma.14G052400.Wm82.a2.v1,5.563888,1.2671954138295606e-251
12,Glyma.U016300.Wm82.a2.v1,6.8080163,1.3375724970454595e-249
12,Glyma.02G090100.Wm82.a2.v1,6.1425657,1.839476844350288e-245
12,Glyma.10G047800.Wm82.a2.v1,6.5648065,2.191176645337593e-245
13,Glyma.04G018400.Wm82.a2.v1,5.5068974,5.860869004351745e-250
13,Glyma.06G018700.Wm82.a2.v1,5.784126,7.119023699331549e-219
13,Glyma.15G186100.Wm82.a2.v1,5.3150773,1.0050722799130824e-205
13,Glyma.15G009500.Wm82.a2.v1,4.1319995,6.6281521714349325e-164
13,Glyma.08G103400.Wm82.a2.v1,4.8278985,2.8405069066685834e-159
13,Glyma.06G235500.Wm82.a2.v1,6.247045,6.2126466553947276e-152
13,Glyma.05G034500.Wm82.a2.v1,4.520642,6.759964425752775e-151
13,Glyma.15G072400.Wm82.a2.v1,4.479647,3.221052914787763e-147
13,Glyma.05G180100.Wm82.a2.v1,3.8802037,3.294051478853749e-147
13,Glyma.01G203400.Wm82.a2.v1,5.3922596,3.148591212670967e-130
14,Glyma.10G183300.Wm82.a2.v1,1.126837,0.0007714307972213818
14,Glyma.07G150900.Wm82.a2.v1,1.7862632,0.001351045427359573
14,Glyma.05G034500.Wm82.a2.v1,1.2937143,0.025842241412388854
14,Glyma.10G004800.Wm82.a2.v1,1.1926519,0.029370577642381747
14,Glyma.18G096400.Wm82.a2.v1,1.0690725,0.029994215356205466
14,Glyma.03G057100.Wm82.a2.v1,1.2845668,0.05315152135235989
14,Glyma.01G008200.Wm82.a2.v1,1.675728,0.23261256125805185
14,Glyma.17G238200.Wm82.a2.v1,1.0913575,0.27312090701802155
14,Glyma.09G040600.Wm82.a2.v1,1.2718683,0.32508283003405686
14,Glyma.15G073000.Wm82.a2.v1,1.1426728,0.34611157394328473
15,Glyma.11G096700.Wm82.a2.v1,4.928875,7.341995935163662e-55
15,Glyma.10G169600.Wm82.a2.v1,4.9832635,2.2139346652037864e-53
15,Glyma.06G292200.Wm82.a2.v1,4.162559,8.465804093011239e-42
15,Glyma.01G224800.Wm82.a2.v1,5.870469,6.05536059696021e-41
15,Glyma.12G222400.Wm82.a2.v1,4.072651,1.034687060112689e-36
15,Glyma.16G177900.Wm82.a2.v1,3.9273555,2.103469139695399e-36
15,Glyma.04G069500.Wm82.a2.v1,4.246052,2.2485353145307546e-35
15,Glyma.14G124300.Wm82.a2.v1,4.189122,3.969523782155931e-34
15,Glyma.03G236300.Wm82.a2.v1,4.065054,6.547350651383112e-33
15,Glyma.10G201100.Wm82.a2.v1,5.2319455,6.118078539930749e-32
16,Glyma.14G152100.Wm82.a2.v1,5.7185984,2.6852154833461576e-28
16,Glyma.01G081900.Wm82.a2.v1,8.913495,9.822261760038464e-28
16,Glyma.16G080500.Wm82.a2.v1,11.109517,4.669790257284109e-26
16,Glyma.10G209800.Wm82.a2.v1,5.94769,1.373376796172635e-25
16,Glyma.07G064100.Wm82.a2.v1,6.8159213,3.897270492170595e-25
16,Glyma.11G166300.Wm82.a2.v1,5.509017,8.206370178389532e-25
16,Glyma.20G007900.Wm82.a2.v1,8.550447,4.3236198500541255e-22
16,Glyma.13G284200.Wm82.a2.v1,5.2391157,1.0964031042178324e-20
16,Glyma.03G214800.Wm82.a2.v1,7.402548,5.690912275340767e-20
16,Glyma.12G047400.Wm82.a2.v1,10.436982,1.2049462830109436e-19
17,Glyma.17G057800.Wm82.a2.v1,8.467824,1.3464327399637549e-31
17,Glyma.04G040600.Wm82.a2.v1,12.56172,1.3464327399637549e-31
17,Glyma.19G228300.Wm82.a2.v1,8.415844,1.629744055351979e-30
17,Glyma.13G101700.Wm82.a2.v1,8.628205,1.629744055351979e-30
17,Glyma.02G162300.Wm82.a2.v1,7.3596454,1.769743112663962e-30
17,Glyma.09G079900.Wm82.a2.v1,6.8854637,4.3676004316579195e-30
17,Glyma.01G175200.Wm82.a2.v1,11.98378,1.0766121863981834e-29
17,Glyma.17G043200.Wm82.a2.v1,11.819452,1.5908867073176345e-28
17,Glyma.03G236600.Wm82.a2.v1,7.1227336,1.5908867073176345e-28
17,Glyma.06G041500.Wm82.a2.v1,10.032953,1.6515797613046614e-28
